Brand,Model,CC,Type,Province,Distance,Condition,Price,Age
Honda,Wave 125,155,Underbone,Mahasarakham,19491,Broken,25600.0,15
Lambretta,Lambretta X,125,Scooter,Nong Bua Lamphu,47239,Good,61200.0,8
Honda,Dream 110,110,Underbone,Buri Ram,9890,Bad,27100.0,1
Lambretta,Lambretta X,150,Scooter,Surin,3463,Good,61500.0,0
Vespa,Primavera,160,Scooter,Sisaket,13088,Broken,60600.0,5
Yamaha,Spark 110i,150,Underbone,Sakon Nakhon,655,Bad,32500.0,0
Honda,Dream 110,160,Underbone,Nakhon Phanom,23892,Fair,29600.0,13
Suzuki,GSX R150,150,Sport,Amnat Charoen,1727,Excellent,27500.0,15
Suzuki,Smash,110,Underbone,Yasothon,25199,Fair,24100.0,0
,Raider 150,125,Sport,Chaiyaphum,12814,,,9
Honda,CBR 150R,300,Sport,Kamphaeng Phet,15961,Good,31000.0,8
Yamaha,MT-15,150,Sport,Phang Nga,21247,Broken,28500.0,1
Yamaha,XSR155,160,Sport,Satun,23834,Broken,28600.0,10
Suzuki,Raider 150,150,Sport,Narathiwat,36079,Excellent,27500.0,1
Honda,Dream 110,110,Underbone,Lopburi,9567,Good,31100.0,11
Suzuki,J Crossover,300,Underbone,Singburi,33087,Broken,22000.0,13
Yamaha,Fin 115i,300,Underbone,Ang Thong,27064,Fair,36000.0,9
Suzuki,Smash,155,Underbone,Chai Nat,27071,Bad,22600.0,4
Lambretta,Lambretta X,110,Scooter,Suphan Buri,31891,Good,61100.0,0
Yamaha,GT 125,110,Scooter,Nakhon Nayok,15152,Excellent,44100.0,12
Yamaha,Fin 115i,160,Underbone,Pathum Thani,18708,Good,36600.0,6
Yamaha,NMax 155,150,Scooter,Samut Sakhon,25315,Fair,39500.0,12
Suzuki,Raider 150,110,Sport,Samut Songkhram,45963,Bad,20100.0,4
Honda,CBR 300R,160,Sport,Prachinburi,1888,Good,29600.0,8
Vespa,GTS,125,Scooter,Sa Kaeo,29474,Fair,64200.0,4
Yamaha,Fin 115i,160,Underbone,Uthai Thani,43919,Good,36600.0,10
Yamaha,MT-15,160,Sport,Phrae,49362,Fair,32600.0,10
Honda,Sonic 125,110,Underbone,Phayao,24687,Excellent,34100.0,5
Yamaha,Fin 115i,150,Underbone,Ranong,23650,Good,36500.0,14
Suzuki,J Crossover,155,Underbone,Phatthalung,32423,Fair,24600.0,5
Honda,CBR 300R,150,Sport,Mae Hong Son,34804,Excellent,32500.0,0
Suzuki,J Crossover,155,Underbone,Phichit,20368,Fair,24600.0,2
Lambretta,Lambretta X,150,Scooter,Yasothon,20136,Fair,59500.0,9
Yamaha,GT 125,160,Scooter,Samut Songkhram,1692,Broken,35600.0,14
Lambretta,Lambretta V,155,Scooter,Roi Et,19769,Bad,57600.0,7
Honda,Sonic 125,160,Underbone,Ang Thong,15049,Good,31600.0,8
Yamaha,MT-15,125,Sport,Amnat Charoen,1767,Good,34200.0,15
Yamaha,NMax 155,125,Scooter,Trang,32557,Broken,35200.0,4
Honda,PCX 160,110,Scooter,Prachuap Khiri Khan,46227,Good,36100.0,9
Yamaha,Fin 115i,155,Underbone,Surat Thani,47579,Bad,32600.0,1
Vespa,Primavera,150,Scooter,Nakhon Nayok,39812,Good,66500.0,11
Honda,Sonic 125,155,Underbone,Kalasin,2279,Good,31600.0,12
Yamaha,YZF-R15,125,Sport,Sisaket,49395,Fair,32200.0,10
Honda,Sonic 125,300,Underbone,Mukdahan,45635,Good,33000.0,2
Honda,Click 160,155,Scooter,Singburi,41344,Bad,32600.0,7
Lambretta,Lambretta V,160,Scooter,Phrae,11035,Fair,59600.0,2
Yamaha,XSR155,300,Sport,Phrae,25778,Good,36000.0,9
Vespa,GTS,150,Scooter,Lampang,48197,Bad,62500.0,3
Honda,CBR 150R,160,Sport,Lopburi,41143,Broken,23600.0,3
Honda,Wave 110i,155,Underbone,Phayao,35472,Good,31600.0,4
Yamaha,XSR155,110,Sport,Rayong,49000,Good,34100.0,5
Honda,Wave 110i,160,Underbone,Ayutthaya,33961,Good,31600.0,6
Lambretta,Lambretta X,155,Scooter,Narathiwat,27778,Good,61600.0,1
Lambretta,Lambretta V,150,Scooter,Kalasin,25867,Broken,55500.0,14
Yamaha,YZF-R15,110,Sport,Samut Sakhon,48811,Broken,28100.0,3
Suzuki,GSX R150,155,Sport,Nakhon Si Thammarat,1177,Excellent,27600.0,10
Yamaha,Fin 115i,155,Underbone,Surin,37956,Broken,30600.0,13
Honda,Dream 110,155,Underbone,Nong Bua Lamphu,12519,Broken,25600.0,2
Suzuki,GSX R150,150,Sport,Roi Et,8558,Bad,20500.0,9
Honda,Sonic 125,125,Underbone,Sakon Nakhon,39849,Fair,29200.0,11
Honda,CBR 150R,150,Sport,Tak,12693,Excellent,32500.0,14
Vespa,Sprints,300,Scooter,Rayong,6683,Fair,66000.0,5
Suzuki,Raider 150,160,Sport,Suphan Buri,38374,Fair,22600.0,15
Lambretta,Lambretta V,110,Scooter,Nakhon Ratchasima,22023,Broken,55100.0,13
Yamaha,GT 125,110,Scooter,Sisaket,11463,Excellent,44100.0,1
Honda,Click 125,110,Scooter,Phichit,26963,Broken,30100.0,7
Yamaha,XSR155,110,Sport,Nakhon Nayok,3950,Bad,30100.0,5
Yamaha,MT-15,160,Sport,Trat,21121,Bad,30600.0,9
Lambretta,Lambretta X,125,Scooter,Pattaya,6992,Fair,59200.0,5
Vespa,GTS,125,Scooter,Chai Nat,12900,Fair,64200.0,4
Yamaha,Spark 110i,300,Underbone,Bangkok,17772,Fair,36000.0,2
Honda,PCX 160,160,Scooter,Ayutthaya,17034,Broken,30600.0,14
Honda,CBR 150R,155,Sport,Chiang Rai,4651,Good,29600.0,5
Honda,Wave 125,110,Underbone,Mahasarakham,9281,Fair,29100.0,11
Vespa,Primavera,110,Scooter,Nakhon Sawan,21199,Excellent,69100.0,4
Honda,Dream 110,155,Underbone,Phayao,10519,Bad,27600.0,8
Honda,CBR 300R,110,Sport,Pattani,22097,Fair,27100.0,13
Suzuki,J Crossover,110,Underbone,Pattaya,16699,Broken,20100.0,11
Honda,CBR 300R,125,Sport,Nakhon Sawan,1720,Broken,23200.0,15
Honda,Wave 125,125,Underbone,Pattaya,39619,Good,31200.0,11
Yamaha,XSR155,150,Sport,Mahasarakham,21929,Bad,30500.0,3
Vespa,GTS,160,Scooter,Phrae,21020,Good,66600.0,0
Lambretta,Lambretta V,160,Scooter,Nakhon Nayok,43106,Bad,57600.0,4
Lambretta,Lambretta V,160,Scooter,Ratchaburi,29038,Fair,59600.0,4
Lambretta,Lambretta V,125,Scooter,Phayao,45088,Excellent,64200.0,2
Honda,Wave 125,300,Underbone,Ratchaburi,37108,Broken,27000.0,5
Yamaha,GT 125,125,Scooter,Chanthaburi,2434,Good,41200.0,12
Suzuki,GSX R150,110,Sport,Samut Prakan,14269,Fair,22100.0,5
Yamaha,XSR155,125,Sport,Yasothon,30225,Fair,32200.0,11
Honda,CBR 150R,300,Sport,Nakhon Ratchasima,34365,Good,31000.0,1
Honda,CBR 300R,155,Sport,Ang Thong,43987,Good,29600.0,5
Honda,Sonic 125,150,Underbone,Nakhon Ratchasima,3388,Broken,25500.0,10
Suzuki,GSX R150,155,Sport,Amnat Charoen,7870,Fair,22600.0,0
Yamaha,XSR155,125,Sport,Nakhon Phanom,15341,Broken,28200.0,9
Honda,Click 160,160,Scooter,Roi Et,37995,Fair,34600.0,7
Yamaha,GT 125,150,Scooter,Pathum Thani,22663,Good,41500.0,12
,CBR 300R,125,Sport,Nakhon Nayok,23147,,,11
Yamaha,NMax 155,155,Scooter,Lampang,43805,Good,41600.0,15
Yamaha,NMax 155,160,Scooter,Phatthalung,48626,Good,41600.0,2
Honda,Dream 110,155,Underbone,Nakhon Si Thammarat,6349,Broken,25600.0,8
Yamaha,XSR155,110,Sport,Uthai Thani,20460,Good,34100.0,8
Vespa,Primavera,160,Scooter,Phetchabun,26597,Broken,60600.0,3
Vespa,GTS,160,Scooter,Chai Nat,11205,Good,66600.0,7
Yamaha,Fin 115i,155,Underbone,Surat Thani,38719,Broken,30600.0,9
Honda,Click 160,300,Scooter,Mahasarakham,11898,Fair,36000.0,1
Lambretta,Lambretta X,160,Scooter,Singburi,8405,Broken,55600.0,1
Suzuki,J Crossover,110,Underbone,Surat Thani,4764,Broken,20100.0,6
Honda,Dream 110,150,Underbone,Kalasin,26757,Bad,27500.0,4
Lambretta,Lambretta X,160,Scooter,Surat Thani,9744,Good,61600.0,11
Honda,Click 125,300,Scooter,Phuket,144,Fair,36000.0,10
Yamaha,XSR155,160,Sport,Nong Bua Lamphu,44516,Excellent,37600.0,3
Honda,CBR 150R,150,Sport,Phrae,33390,Good,29500.0,0
Lambretta,Lambretta X,150,Scooter,Pathum Thani,34520,Good,61500.0,0
Yamaha,GT 125,110,Scooter,Mukdahan,6916,Fair,39100.0,5
Yamaha,MT-15,150,Sport,Chaiyaphum,2633,Bad,30500.0,8
Yamaha,Spark 110i,125,Underbone,Phetchabun,36728,Broken,30200.0,3
Lambretta,Lambretta X,2500,Scooter,Udon Thani,24083,Fair,1.0,11
Honda,Wave 110i,160,Underbone,Ayutthaya,19560,Broken,25600.0,15
Suzuki,Smash,125,Underbone,Kanchanaburi,28652,Broken,20200.0,7
Honda,Dream 110,125,Underbone,Mukdahan,22808,Good,31200.0,11
,Fin 115i,125,Underbone,Sisaket,17969,,,7
Suzuki,J Crossover,160,Underbone,Lampang,1274,Excellent,29600.0,3
Honda,CBR 150R,150,Sport,Phrae,23063,Excellent,32500.0,10
Suzuki,Raider 150,300,Sport,Udon Thani,25218,Bad,22000.0,7
Yamaha,GT 125,110,Scooter,Lampang,21610,Fair,39100.0,6
Suzuki,Smash,150,Underbone,Nakhon Ratchasima,48334,Broken,20500.0,2
Honda,Wave 110i,125,Underbone,Nonthaburi,43298,Broken,25200.0,2
Yamaha,MT-15,160,Sport,Singburi,1597,Good,34600.0,6
Suzuki,Smash,300,Underbone,Satun,19620,Bad,24000.0,12
Suzuki,GSX R150,155,Sport,Pattaya,33014,Good,24600.0,5
Lambretta,Lambretta X,150,Scooter,Mae Hong Son,25763,Fair,59500.0,13
Vespa,GTS,160,Scooter,Trang,14552,Excellent,69600.0,8
Honda,Click 125,125,Scooter,Rayong,36045,Good,36200.0,12
Yamaha,Fin 115i,150,Underbone,Ayutthaya,16832,Bad,32500.0,9
Suzuki,Smash,300,Underbone,Nakhon Sawan,46044,Broken,22000.0,1
Yamaha,XSR155,125,Sport,Surat Thani,34745,Fair,32200.0,9
Suzuki,Smash,160,Underbone,Lampang,20567,Good,26600.0,15
Yamaha,GT 125,160,Scooter,Kalasin,4754,Bad,37600.0,6
Honda,Dream 110,150,Underbone,Tak,23129,Excellent,34500.0,14
Suzuki,GSX R150,300,Sport,Samut Songkhram,34862,Bad,22000.0,10
Yamaha,Fin 115i,300,Underbone,Nakhon Nayok,24904,Bad,34000.0,15
Vespa,Primavera,300,Scooter,Mukdahan,6625,Good,68000.0,13
Suzuki,GSX R150,300,Sport,Phang Nga,29882,Bad,22000.0,12
Yamaha,YZF-R15,155,Sport,Phrae,22780,Broken,28600.0,14
Honda,CBR 150R,110,Sport,Phrae,3805,Bad,25100.0,0
Honda,Wave 125,160,Underbone,Phang Nga,317,Fair,29600.0,8
Honda,Wave 110i,160,Underbone,Phetchaburi,39608,Bad,27600.0,5
Yamaha,MT-15,150,Sport,Ubon Ratchathani,43166,Fair,32500.0,14
Honda,CBR 150R,300,Sport,Nakhon Si Thammarat,30321,Excellent,34000.0,9
Honda,PCX 160,300,Scooter,Phatthalung,3570,Bad,34000.0,2
Lambretta,Lambretta V,125,Scooter,Chiang Rai,6136,Excellent,64200.0,0
Lambretta,Lambretta V,300,Scooter,Phrae,28743,Excellent,66000.0,12
Honda,Click 160,155,Scooter,Phayao,5162,Bad,32600.0,14
Lambretta,Lambretta X,110,Scooter,Nakhon Ratchasima,6335,Excellent,64100.0,9
Suzuki,Raider 150,160,Sport,Prachuap Khiri Khan,28102,Broken,18600.0,7
Honda,Dream 110,160,Underbone,Chonburi,36259,Fair,29600.0,9
Lambretta,Lambretta X,150,Scooter,Songkhla,18016,Fair,59500.0,1
Honda,CBR 150R,155,Sport,Kalasin,30904,Excellent,32600.0,10
Honda,PCX 160,150,Scooter,Kamphaeng Phet,26170,Bad,32500.0,1
Lambretta,Lambretta V,300,Scooter,Nan,9012,Good,63000.0,5
Honda,Click 125,300,Scooter,Samut Songkhram,27709,Excellent,41000.0,0
Yamaha,NMax 155,160,Scooter,Roi Et,7596,Good,41600.0,10
Honda,Wave 110i,155,Underbone,Lamphun,45389,Good,31600.0,13
Yamaha,NMax 155,110,Scooter,Samut Sakhon,15134,Excellent,44100.0,12
Honda,CBR 150R,300,Sport,Satun,40747,Fair,29000.0,11
Yamaha,NMax 155,110,Scooter,Phrae,38562,Fair,39100.0,15
Honda,Dream 110,150,Underbone,Roi Et,11139,Excellent,34500.0,9
Suzuki,Smash,150,Underbone,Saraburi,49901,Fair,24500.0,10
Yamaha,MT-15,110,Sport,Yala,15945,Fair,32100.0,3
Honda,Sonic 125,150,Underbone,Saraburi,6210,Fair,29500.0,9
Yamaha,XSR155,125,Sport,Prachinburi,9349,Good,34200.0,7
Yamaha,Spark 110i,300,Underbone,Phatthalung,2471,Bad,34000.0,5
Honda,Sonic 125,110,Underbone,Nonthaburi,39179,Excellent,34100.0,3
Yamaha,YZF-R15,110,Sport,Uthai Thani,46777,Good,34100.0,10
Suzuki,J Crossover,300,Underbone,Chaiyaphum,41149,Good,28000.0,13
Lambretta,Lambretta X,160,Scooter,Sakon Nakhon,13000,Excellent,64600.0,12
Vespa,GTS,160,Scooter,Pathum Thani,45374,Broken,60600.0,4
Honda,CBR 150R,125,Sport,Nakhon Si Thammarat,21809,Broken,23200.0,13
Suzuki,GSX R150,150,Sport,Nakhon Si Thammarat,6207,Fair,22500.0,7
Lambretta,Lambretta V,125,Scooter,Nakhon Si Thammarat,36813,Excellent,64200.0,1
Suzuki,J Crossover,125,Underbone,Nonthaburi,14830,Bad,22200.0,8
Lambretta,Lambretta V,155,Scooter,Mahasarakham,1243,Good,61600.0,1
Honda,Sonic 125,160,Underbone,Rayong,37087,Good,31600.0,12
Honda,Wave 110i,160,Underbone,Roi Et,49030,Bad,27600.0,9
Suzuki,Smash,125,Underbone,Phitsanulok,6793,Broken,20200.0,2
Suzuki,GSX R150,300,Sport,Chonburi,32785,Good,26000.0,11
Yamaha,Fin 115i,300,Underbone,Trang,42799,Bad,34000.0,0
Yamaha,MT-15,150,Sport,Amnat Charoen,33105,Bad,30500.0,14
Yamaha,XSR155,125,Sport,Phang Nga,46366,Fair,32200.0,3
Honda,Click 160,160,Scooter,Chanthaburi,38485,Broken,30600.0,14
Yamaha,Fin 115i,110,Underbone,Phetchabun,23806,Broken,30100.0,5
Yamaha,MT-15,160,Sport,Mahasarakham,42866,Excellent,37600.0,4
Yamaha,Spark 110i,160,Underbone,Trang,31694,Broken,30600.0,10
Honda,CBR 300R,155,Sport,Pathum Thani,16511,Fair,27600.0,9
Honda,CBR 150R,125,Sport,Sisaket,455,Broken,23200.0,6
Lambretta,Lambretta X,300,Scooter,Yala,27004,Excellent,66000.0,11
Honda,CBR 300R,150,Sport,Phitsanulok,22226,Broken,23500.0,12
Yamaha,NMax 155,155,Scooter,Nakhon Si Thammarat,27795,Broken,35600.0,2
Honda,Wave 110i,150,Underbone,Tak,9412,Broken,25500.0,15
Yamaha,Fin 115i,155,Underbone,Mae Hong Son,21400,Fair,34600.0,5
Yamaha,Spark 110i,110,Underbone,Phrae,2037,Fair,34100.0,0
Honda,CBR 150R,300,Sport,Prachinburi,44527,Good,31000.0,2
Honda,Wave 110i,125,Underbone,Nong Khai,41931,Broken,25200.0,15
Honda,Wave 125,125,Underbone,Nong Khai,13124,Fair,29200.0,10
Honda,CBR 150R,125,Sport,Nan,4262,Broken,23200.0,4
Yamaha,NMax 155,125,Scooter,Lampang,38551,Good,41200.0,6
Honda,CBR 300R,150,Sport,Rayong,37480,Broken,23500.0,0
Honda,Sonic 125,300,Underbone,Chiang Rai,38495,Excellent,36000.0,7
Yamaha,Fin 115i,110,Underbone,Roi Et,20444,Excellent,39100.0,6
Honda,PCX 160,110,Scooter,Ranong,10924,Bad,32100.0,15
Suzuki,Raider 150,150,Sport,Singburi,27408,Broken,18500.0,5
Lambretta,Lambretta X,300,Scooter,Prachinburi,5684,Bad,59000.0,7
Yamaha,NMax 155,110,Scooter,Sa Kaeo,30055,Excellent,44100.0,7
Honda,Click 125,125,Scooter,Samut Songkhram,46642,Bad,32200.0,13
Lambretta,Lambretta X,155,Scooter,Phitsanulok,12158,Excellent,64600.0,11
Lambretta,Lambretta X,160,Scooter,Pattani,28573,Broken,55600.0,4
Suzuki,Raider 150,125,Sport,Suphan Buri,90,Broken,18200.0,14
Suzuki,GSX R150,155,Sport,Samut Prakan,13678,Excellent,27600.0,6
Yamaha,XSR155,300,Sport,Bangkok,6041,Fair,34000.0,3
Honda,CBR 300R,125,Sport,Singburi,42036,Fair,27200.0,12
Vespa,Sprints,300,Scooter,Amnat Charoen,39609,Bad,64000.0,7
Yamaha,Fin 115i,155,Underbone,Satun,32965,Fair,34600.0,11
Suzuki,J Crossover,125,Underbone,Nong Bua Lamphu,3067,Good,26200.0,3
Honda,Sonic 125,150,Underbone,Samut Sakhon,27708,Broken,25500.0,12
Vespa,Sprints,125,Scooter,Lampang,3788,Bad,62200.0,6
Honda,Dream 110,110,Underbone,Phetchabun,16640,Good,31100.0,6
Lambretta,Lambretta X,160,Scooter,Pattaya,4266,Excellent,64600.0,4
Suzuki,J Crossover,110,Underbone,Nakhon Phanom,34782,Bad,22100.0,5
Yamaha,Fin 115i,125,Underbone,Surat Thani,46437,Excellent,39200.0,1
Yamaha,XSR155,150,Sport,Yasothon,17336,Bad,30500.0,15
Honda,Wave 110i,125,Underbone,Ang Thong,28185,Good,31200.0,11
Yamaha,GT 125,110,Scooter,Loei,18522,Good,41100.0,11
Honda,Click 125,110,Scooter,Buri Ram,19626,Fair,34100.0,5
Yamaha,GT 125,300,Scooter,Phrae,35279,Bad,39000.0,10
Honda,PCX 160,300,Scooter,Sisaket,36101,Excellent,41000.0,9
Honda,Wave 125,160,Underbone,Chai Nat,32937,Good,31600.0,4
Suzuki,Smash,150,Underbone,Loei,18551,Fair,24500.0,6
Yamaha,NMax 155,160,Scooter,Mukdahan,11061,Broken,35600.0,6
Honda,Sonic 125,110,Underbone,Chiang Rai,45694,Excellent,34100.0,4
Honda,Wave 125,150,Underbone,Sakon Nakhon,42518,Broken,25500.0,6
Lambretta,Lambretta X,155,Scooter,Bangkok,18142,Excellent,64600.0,7
Yamaha,Spark 110i,150,Underbone,Chonburi,14133,Broken,30500.0,8
Suzuki,Smash,160,Underbone,Chiang Rai,23828,Fair,24600.0,13
Yamaha,XSR155,110,Sport,Singburi,31643,Good,34100.0,12
Honda,PCX 160,110,Scooter,Kamphaeng Phet,32222,Bad,32100.0,4
Honda,Wave 125,160,Underbone,Sa Kaeo,12642,Broken,25600.0,1
Yamaha,GT 125,155,Scooter,Ratchaburi,16206,Fair,39600.0,2
Suzuki,GSX R150,110,Sport,Nakhon Ratchasima,23913,Good,24100.0,5
Lambretta,Lambretta X,150,Scooter,Chachoengsao,3520,Good,61500.0,13
Honda,Wave 110i,150,Underbone,Chachoengsao,17032,Broken,25500.0,10
Vespa,Sprints,160,Scooter,Pattaya,31351,Fair,64600.0,7
Honda,Click 160,125,Scooter,Narathiwat,17029,Broken,30200.0,1
Honda,Click 160,125,Scooter,Samut Sakhon,2287,Bad,32200.0,4
Honda,Dream 110,150,Underbone,Pathum Thani,32663,Fair,29500.0,1
Yamaha,YZF-R15,300,Sport,Chiang Rai,32018,Broken,30000.0,9
Yamaha,XSR155,155,Sport,Lopburi,28494,Excellent,37600.0,5
Honda,Click 160,150,Scooter,Sukhothai,12762,Bad,32500.0,8
Yamaha,Fin 115i,150,Underbone,Phang Nga,2896,Fair,34500.0,7
Yamaha,Spark 110i,125,Underbone,Surat Thani,1991,Good,36200.0,15
Yamaha,GT 125,110,Scooter,Saraburi,48049,Excellent,44100.0,8
Yamaha,XSR155,150,Sport,Phang Nga,25389,Bad,30500.0,3
Suzuki,Smash,125,Underbone,Mukdahan,18234,Broken,20200.0,2
Lambretta,Lambretta V,155,Scooter,Khon Kaen,7636,Bad,57600.0,11
Yamaha,MT-15,110,Sport,Sukhothai,25412,Good,34100.0,0
Yamaha,GT 125,125,Scooter,Saraburi,46211,Fair,39200.0,15
Vespa,GTS,110,Scooter,Lamphun,3961,Excellent,69100.0,13
Yamaha,MT-15,125,Sport,Roi Et,28717,Fair,32200.0,7
Suzuki,Raider 150,110,Sport,Bangkok,20149,Bad,20100.0,9
Honda,Sonic 125,110,Underbone,Uthai Thani,45365,Good,31100.0,11
Honda,CBR 150R,160,Sport,Ang Thong,29982,Good,29600.0,4
Suzuki,Smash,150,Underbone,Phichit,13897,Bad,22500.0,6
Honda,PCX 160,150,Scooter,Phrae,39957,Fair,34500.0,14
Vespa,GTS,125,Scooter,Chai Nat,3533,Fair,64200.0,2
Yamaha,Fin 115i,155,Underbone,Chachoengsao,38289,Good,36600.0,7
Yamaha,Fin 115i,300,Underbone,Pathum Thani,17511,Fair,36000.0,13
Yamaha,MT-15,155,Sport,Surat Thani,3959,Good,34600.0,3
Yamaha,GT 125,125,Scooter,Trang,10307,Good,41200.0,12
Suzuki,GSX R150,300,Sport,Chonburi,42301,Broken,20000.0,7
Suzuki,Raider 150,300,Sport,Trang,10935,Fair,24000.0,10
Lambretta,Lambretta X,125,Scooter,Chanthaburi,17599,Fair,59200.0,12
Honda,Dream 110,125,Underbone,Samut Sakhon,19064,Good,31200.0,2
Lambretta,Lambretta X,150,Scooter,Ang Thong,31343,Bad,57500.0,5
Yamaha,YZF-R15,155,Sport,Songkhla,21907,Bad,30600.0,11
Suzuki,J Crossover,150,Underbone,Lamphun,4132,Excellent,29500.0,5
Honda,Click 160,110,Scooter,Pattaya,21955,Broken,30100.0,5
Yamaha,MT-15,110,Sport,Chanthaburi,3506,Good,34100.0,13
Suzuki,J Crossover,150,Underbone,Samut Songkhram,45362,Bad,22500.0,9
Lambretta,Lambretta X,150,Scooter,Phayao,23830,Broken,55500.0,8
Honda,Wave 110i,300,Underbone,Pattaya,20346,Broken,27000.0,4
Vespa,Primavera,160,Scooter,Sukhothai,27040,Bad,62600.0,3
Yamaha,MT-15,125,Sport,Sukhothai,48921,Broken,28200.0,11
Suzuki,Smash,300,Underbone,Nong Bua Lamphu,17694,Fair,26000.0,10
Honda,Sonic 125,300,Underbone,Rayong,13795,Broken,27000.0,9
Honda,CBR 150R,125,Sport,Bangkok,12113,Bad,25200.0,7
Suzuki,Smash,160,Underbone,Phuket,14562,Broken,20600.0,3
Vespa,GTS,155,Scooter,Nakhon Sawan,43932,Good,66600.0,15
Honda,Dream 110,150,Underbone,Phayao,20212,Fair,29500.0,8
Suzuki,GSX R150,300,Sport,Phayao,11971,Bad,22000.0,4
Lambretta,Lambretta X,160,Scooter,Mahasarakham,29338,Fair,59600.0,14
Lambretta,Lambretta X,300,Scooter,Kanchanaburi,38031,Bad,59000.0,13
Yamaha,MT-15,125,Sport,Nakhon Nayok,34495,Bad,30200.0,9
Lambretta,Lambretta X,155,Scooter,Lamphun,3757,Good,61600.0,0
Yamaha,MT-15,300,Sport,Mahasarakham,14661,Bad,32000.0,0
Yamaha,Spark 110i,110,Underbone,Suphan Buri,21594,Bad,32100.0,15
Suzuki,Smash,155,Underbone,Nakhon Nayok,25720,Excellent,29600.0,4
Yamaha,NMax 155,160,Scooter,Lopburi,5051,Excellent,44600.0,4
Vespa,Primavera,155,Scooter,Songkhla,11731,Broken,60600.0,11
Honda,Click 160,155,Scooter,Nan,21764,Good,36600.0,5
Suzuki,J Crossover,150,Underbone,Sakon Nakhon,136,Bad,22500.0,6
Suzuki,J Crossover,155,Underbone,Ang Thong,7845,Fair,24600.0,0
Suzuki,J Crossover,160,Underbone,Narathiwat,13844,Good,26600.0,1
